date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:05	44880/44880	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Mar%202023%2019:37:06%20GMT	https://gumascargo.com/assets/img/service/17.jpg	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/service/17.jpg	(from https://gumascargo.com/service.php)
12:02:05	1411/1411	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jul%202022%2014:38:32%20GMT	https://gumascargo.com/assets/img/service/service-icon-4.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/service/service-icon-4.png	(from https://gumascargo.com/service.php)
12:02:05	39221/39221	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Mar%202023%2019:37:48%20GMT	https://gumascargo.com/assets/img/service/18.jpg	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/service/18.jpg	(from https://gumascargo.com/service.php)
12:02:05	1580/1580	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jul%202022%2014:38:48%20GMT	https://gumascargo.com/assets/img/service/service-icon-5.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/service/service-icon-5.png	(from https://gumascargo.com/service.php)
12:02:05	26403/26403	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Mar%202023%2000:39:12%20GMT	https://gumascargo.com/assets/img/service/20.jpg	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/service/20-2.jpg	(from https://gumascargo.com/service.php)
12:02:06	83645/83645	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202023%2000:27:52%20GMT	https://gumascargo.com/assets/img/faq/2.jpeg	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/faq/2.jpg	(from https://gumascargo.com/faq.php)
12:02:06	754472/754472	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2023:15:06%20GMT	https://gumascargo.com/assets/img/contact/3.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/contact/3.png	(from https://gumascargo.com/service.php)
12:02:06	103577/103577	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202023%2000:24:42%20GMT	https://gumascargo.com/assets/img/contact/4.jpeg	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/contact/4.jpg	(from https://gumascargo.com/faq.php)
12:02:07	69597/69597	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-10fdd%22	https://code.jquery.com/jquery-3.2.1.slim.min.js	C:/My%20Web%20Sites/fijass/code.jquery.com/jquery-3.2.1.slim.min.js	(from https://gumascargo.com/branches.php)
12:02:08	19236/19236	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4b24%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.3/umd/popper.min.js	C:/My%20Web%20Sites/fijass/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.3/umd/popper.min.js	(from https://gumascargo.com/branches.php)
12:02:08	50564/50564	---MCZ	200	added ('OK')	application/javascript	etag:W/%2246b549bdc90920f18a911f186b9dd75c%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta.2/js/bootstrap.min.js	C:/My%20Web%20Sites/fijass/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta.2/js/bootstrap.min.js	(from https://gumascargo.com/branches.php)
12:02:09	788277/788277	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Mar%202023%2015:09:52%20GMT	https://gumascargo.com/assets/img/branches/tur.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/branches/tur.png	(from https://gumascargo.com/branches.php)
12:02:10	412940/412940	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202023%2002:44:02%20GMT	https://gumascargo.com/assets/img/branches/dubai.jpg	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/branches/dubai.jpg	(from https://gumascargo.com/branches.php)
12:02:10	84674/84674	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202023%2002:44:42%20GMT	https://gumascargo.com/assets/img/branches/china.jpg	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/branches/china.jpg	(from https://gumascargo.com/branches.php)
12:02:10	72573/72573	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202023%2015:10:54%20GMT	https://gumascargo.com/assets/img/branches/other.jpg	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/branches/other.jpg	(from https://gumascargo.com/branches.php)
